Entry_name,GH,DMY_H1_kgperha,PH_H2,DMY_H2_kgperha,PH_H3,DMY_H3_kgperha
G1,4,1465.38,12.76,1996.24,23.62,326.31
G2,4.75,2137.83,16.26,1650.85,23.62,522.98
G3,4,2125.11,16.26,NA,25.12,2125.27
G4,6,1297.63,16.01,3989.59,25.87,2481.44
G5,5.5,1424.83,15.76,4615.59,19.37,1935.95
G6,6.25,797.81,11.76,2866.16,16.87,1577.91
G7,5,1861.61,16.51,3597.77,28.87,925.25
G8,3.25,973.62,13.76,2618.21,23.87,318.93
G9,5,1750.1,13.26,1399.08,21.12,836.23
G10,2.75,2219.95,20.26,NA,27.62,3298.12
G11,5.75,182.23,14.01,3016.75,19.62,1009.87
G12,5,1173.05,15.01,4423.39,28.87,2552.31
G13,4,987.74,15.01,3031.34,23.12,2781.81
G14,2.25,2395.54,20.26,4654.52,24.37,3538.22
G15,3.5,1669.96,21.01,NA,27.12,2528.21
G16,5,2594.85,19.51,3163.62,26.87,4475.83
G17,2.75,1678.42,19.01,4559.73,NA,1195.19
G18,2.25,2003.17,19.26,4442.75,25.37,1520.92
G19,5,2001.65,16.26,2853.22,28.12,840.13
G20,4.5,2045.84,13.76,4011.47,22.37,761.28
G21,3.25,1312.09,18.01,3806.56,29.12,2003.02
G22,4.25,1520.66,15.76,4107.67,22.87,1284.3
G23,3.5,NA,16.51,NA,25.87,2459.69
G24,4,1324.78,18.51,NA,31.87,NA
G25,4,NA,13.51,2646.78,23.87,NA
G26,6.25,NA,14.01,4787.28,25.12,687.73
G27,5,302.48,11.76,1336.2,22.12,447.74
G28,5.25,1225.81,17.01,2958.5,23.12,NA
G29,5.5,1561.81,17.01,4734.14,28.37,3089.56
G30,4,1280.58,17.76,2931.01,34.62,1746.05
G31,3.75,NA,20.51,NA,33.37,4365.84
G32,4,2182.93,15.01,4152.79,24.12,2464.75
G33,3,557.67,12.76,2028.34,18.62,2033.46
G34,4.5,2207.29,17.01,NA,27.12,3416.64
G35,6,1158.09,17.01,NA,30.12,NA
G36,2.75,578.46,17.01,2485.03,25.62,1946.16
G37,5,1558.47,13.01,2410.11,28.12,1492.54
G38,6,1262.08,13.51,4027.21,21.87,3405.35
G39,5,1676.99,17.01,NA,28.87,3953.23
G40,3.5,1002.59,16.01,4480.15,23.12,735.24
G41,5.75,523.46,17.01,5115.76,25.62,4145.89
G42,5,460.05,14.76,4695.96,21.62,340.52
G43,3.75,1678.6,13.01,3342.58,20.62,2976.62
G44,4,733.49,15.76,3268.26,26.62,3680.01
G45,5.75,1249.29,14.01,4074.45,20.62,3266.07
G46,5,472.68,10.76,NA,26.12,2300.76
G47,6,1723.85,14.01,NA,27.12,838.05
G48,5,1924.67,16.01,4964.52,24.87,2302.23
G49,4,NA,16.76,NA,21.12,2397.71
G50,5.75,938.5,13.01,3665.57,22.62,3150.21
G51,4.75,2893.01,16.51,3245.94,30.37,3998.14
G52,6.5,567.16,15.76,3513.74,27.37,3175.14
G53,5,2769.13,16.01,4715.51,22.12,324.06
G54,5,1205.84,13.26,3308.13,24.87,NA
G55,5.5,528.21,10.76,2745,27.37,2460.27
G56,4.75,NA,15.01,3906.15,24.62,2683.48
G57,4.5,NA,12.76,4790.04,23.37,3293.21
G58,5,1925.65,14.26,NA,33.12,4814.45
G59,4.5,1887.55,15.01,3243.04,34.12,2988.82
G60,4,1743.93,14.76,2777.44,31.62,4288.82
G61,5.5,970.15,13.51,4022.48,29.87,3817.02
G62,4.5,2044.99,12.51,3089.29,23.87,1800.93
G63,4.25,1100.28,14.01,4386.58,18.12,NA
G64,5,1555.7,16.51,NA,25.87,2973.46
G65,3,1935.49,11.76,4440.54,24.62,4284.9
G66,6.5,1038.6,10.51,4398.41,27.87,NA
G67,5.75,1281.29,11.51,3044.09,25.37,3607.95
G68,7,1370.15,12.01,233.95,31.12,3472.49
G69,5.75,1122.09,13.26,3750.68,15.63,1117.36
G70,3,NA,19.51,5139.85,28.87,2441.47
G71,4.25,1337.98,13.01,3083.25,24.12,708.53
G72,4.25,1733.03,18.26,4046.5,30.37,3533.65
G73,4,NA,19.76,5248.73,34.12,4494.07
G74,3.5,1190.85,13.51,3132.37,22.87,1766.83
G75,6.5,2178.52,14.76,4393.88,26.37,4277.66
G76,6.25,1783.26,11.26,2234.41,27.37,1753.49
G77,4.25,1795.26,11.76,2701.34,24.87,5168.23
G78,6.5,546.58,14.01,2509.53,31.12,3028.45
G79,3.25,741.63,17.01,5481.88,21.12,3445.09
G80,3.5,NA,15.51,3893.49,27.87,4909.83
G81,4.75,1923.39,17.26,3860.28,21.62,2043.04
G82,5,2741.44,17.26,2633.34,30.12,4810.18
G83,4,2568.84,12.01,2666,26.87,2565.64
G84,5,1602.62,14.76,4211,23.62,1787.39
G85,6.5,688.11,12.01,2659.26,35.12,1740.85
G86,5,877.66,12.51,2071.22,32.87,3707.03
G87,5,593.33,18.01,NA,32.12,3926.7
G88,6.25,767.05,15.01,4946.44,23.12,4049.04
G89,5.25,1393.85,13.26,3094.09,25.37,4378.41
G90,5,NA,13.01,NA,26.12,2617.49
G91,4,1196.85,18.01,3747.04,26.12,1588.21
G92,3,2010.91,16.01,4460.5,23.12,1059.74
G93,3,1356.77,13.01,2725.34,27.87,3470.45
G94,3.25,825.85,12.76,4777.05,22.87,3323.67
G95,5,1405.17,12.01,3640.55,20.12,1745.68
G96,6.25,210.28,15.76,NA,30.87,4055.13
G97,5,NA,13.01,3705.93,20.12,2900.2
G98,5,2147.09,11.76,2089.85,32.12,1395.56
G99,5,NA,14.76,5049.41,26.62,2915.81
G100,6.5,NA,12.76,2625.75,23.37,1306.57
G101,4.25,NA,13.76,4755.13,24.87,4438.89
G102,4.75,853.85,14.01,3847.62,24.62,3192.62
G103,4,1064.76,14.26,3460.09,25.87,3354.41
G104,3.75,2736.92,17.51,4201.82,25.37,2597.23
G105,5.5,1939.42,12.01,3584.95,22.37,239
G106,5,1287.21,18.01,4450.63,33.12,1920.49
G107,5,NA,11.26,3742.96,17.87,2082.56
G108,4.5,2511.28,15.01,5364.92,20.37,NA
G109,4,NA,16.01,2919.52,25.87,2087.3
G110,2.25,2788.19,17.26,5279.02,28.37,NA
G111,4.5,2039.43,16.01,NA,27.12,3541.58
G112,3,NA,20.26,NA,24.12,1987.48
G113,3.75,1341.66,16.01,5353.91,24.62,2980.64
G114,6,NA,9.26,1267.74,22.87,1066.45
G115,5,1395.45,14.76,3741.28,28.62,2519.84
G116,4.25,NA,14.01,3251.59,29.12,4377.83
G117,5,1220.37,17.01,4722.04,32.87,3957.01
G118,5,318.33,12.76,3076.86,30.12,4067.48
G119,4,1325.01,12.51,3802.56,26.87,2188.81
G120,4,2716.03,15.01,NA,26.12,4178.62
G121,6,752.13,12.76,2682.7,19.12,490.73
G122,5,1936.52,13.01,3008.27,23.12,1972.23
G123,5,1707.41,14.76,NA,24.62,2155.31
G124,2.25,NA,17.26,NA,26.37,2982.1
G125,5.5,1316.39,12.51,2952.36,24.87,1481.64
G126,4.75,1624.9,12.51,3511.21,23.37,1094.44
G127,4.75,1508.17,13.51,4231.93,23.37,2014.36
G128,3,402.75,13.76,2683.51,31.62,NA
G129,4,1852.12,18.01,3723.24,26.87,4172.2
G130,7,589.94,13.76,1909.98,19.62,1874.46
G131,4.5,1818.79,15.51,NA,28.87,3731.06
G132,6.5,2065.71,16.01,2686.84,23.37,NA
G133,5,1806.95,18.01,4340.17,NA,5197.73
G134,5,1986.37,12.51,2474.85,21.87,1459.16
G135,4,2016.71,19.76,NA,23.62,2638.96
G136,5,662.43,11.76,4236.97,25.62,1187.05
G137,5,1019.53,15.76,NA,23.62,1045.98
G138,6,408.17,15.01,2872.47,30.12,3565.52
G139,3,2103.24,19.26,5055.38,21.87,2233.98
G140,4,1379.05,13.51,4446.73,20.87,1414.92
G141,6.5,NA,15.01,3304.97,21.37,459.25
G142,5.25,1238.38,12.76,2839.94,23.87,290.37
G143,5.25,1192.56,11.01,3331.57,21.12,332.36
G144,4,877.56,16.76,3724.93,24.62,1161.29
G145,2.75,2398.68,16.51,2958.74,26.37,4213.74
G146,5,1802.35,12.51,3579.41,24.87,621.33
G147,5,NA,14.51,3331.42,25.87,1417.71
G148,5,866.88,11.26,3628.86,17.87,1109.9
G149,6.5,923.05,14.01,4046.67,29.37,2240.17
G150,2.75,1314.83,17.01,4929.77,26.62,3318.02
G151,3,1632.62,17.76,3939.69,26.62,5079.54
G152,2.75,1669.87,20.01,5229.87,20.62,2043.63
G153,5.25,248.58,11.01,1422.04,19.12,254.92
