Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G1,6.01,55.9,7.91,2785.32,39.08,6.63,2227.63,49.42,6.26,2457.71
G2,6.54,47.62,8.49,2278.59,34.35,7.98,2177.81,51.42,7.04,3665.58
G3,5.94,54.31,6.48,2133.15,39.85,6.12,1670.11,46.87,4.96,1562.42
G4,5.02,60.68,6.99,2064.43,37.85,6.47,2002.35,55.66,5.59,2511.06
G5,5.44,57.58,8.03,2112.68,33.11,6.36,1421.32,47.98,6.34,1298.82
G6,5.48,53.2,7.56,2226.69,40.16,6.83,1576.88,54.13,6.3,2992.49
G7,5.02,55.94,7.95,2687.39,38.38,6.48,1973.45,47.52,5.77,2401.94
G8,4.57,53.57,6.96,2334.72,40.57,6.18,1900.62,51.53,4.88,2042.89
G9,7.01,41.23,6.58,626.31,28.67,7.8,1403.76,56.01,7.36,2781.99
G10,4.54,57.19,6.98,1877.35,43.24,5.47,1363.65,54.62,5.83,2180.97
G11,6.12,49.06,6.87,1932.65,33.86,7.43,1614.75,53.72,7.23,3576.94
G12,3.99,54.65,6.89,2407.18,39.01,5.31,1925.56,42.8,3.03,1599.32
G13,6.88,43.02,6.91,2134.95,39.9,4.93,1715.09,46.98,5.62,1835.82
G14,6.41,54.22,7.45,1698.4,42.28,5.59,1566.6,48.32,4.86,1349.75
G15,5.95,52.17,8.02,1914.99,37.17,7.58,1818.06,51.03,6.73,2740.41
G16,7.51,39.99,7.03,863.56,41.4,6.9,1839.93,53.34,6.52,3615.07
G17,4.04,57.11,7.16,3128.64,46.18,5.47,1914.08,50.62,3.74,1988.43
G18,3.99,55.94,7.06,2604.71,37.26,7.2,1744.67,53.97,6.63,2842
G19,5.49,53.07,7.52,1819.89,33.96,6.96,1509.79,59.01,5.71,2529.57
G20,5.56,57.42,8.02,2762.92,30.38,7.86,1726.1,47.57,5.11,2126.7
G21,5.98,55.13,7.03,2193.63,45.45,5.97,1215.77,46.08,5.39,1883.56
G22,3.55,60.98,6.93,2020.53,31.44,3.95,780.41,51.88,4.08,1504.76
G23,2.47,72.74,7.01,3469.73,35.22,5.82,1172.07,59.23,4.94,1667.56
G24,4.09,66.08,7.46,1870.47,37.31,6.03,1333.08,55.04,7.08,2679.21
G25,4.49,62.8,7.03,2277.23,39.52,6.14,2241.68,46.14,4.67,2388.92
G26,4.47,60.7,7.43,2438.17,35.13,5.02,1393.35,54.81,4.88,1915.18
G27,6.98,45.47,7.47,2210.2,43.67,6.56,1661.52,52.32,4.69,2124.43
G28,3.69,56.46,7.51,1720.76,35.46,6.17,1516.85,70.02,5.16,2794.11
G29,6.06,53.99,7.43,1602.76,34.22,7.14,1656,54.73,6.72,2555.82
G30,6,55.85,6.52,1366.63,37.28,6.4,1148.51,47.58,5.47,2356.37
G31,4.59,67.76,7.05,2499.37,35.73,6.28,1151.49,49.25,5.77,2396.82
G32,4.07,58.89,7.4,2221.66,32.5,5.51,1239.26,40.05,4.84,1649
G33,5.48,62.07,7.43,2462.58,32,5.42,1383.95,44.14,5.18,2009.84
G34,4.96,55.73,7.49,1957.22,45.51,7.53,2090.52,47.56,6.46,2966.05
G35,5.01,52.37,7.55,2317,40.29,5.87,1253.01,51.92,5.84,2848.53
G36,4.56,53.81,6.9,2812.43,41.81,5.38,2047.62,44,4.96,1906.36
G37,6.06,43.87,7.41,1981.76,39.75,5.48,1538.17,40.91,5.4,1889.39
G38,5.54,51.67,8,2377.11,35.65,7.22,1833.94,54.05,6.46,2659.88
G39,5.43,54.65,7.11,2598.66,36.96,6.61,1993.2,55.13,6.56,3036.59
G40,2.93,69.46,6.99,3584.42,36.49,5.2,1315.24,48.96,6.66,3142.84
G41,7.97,40.35,8.61,1780.98,42.65,6.99,1782.2,52.37,6.04,3027.72
G42,5.04,41.25,5.92,1332.89,32.58,6.5,1253.11,61.22,7.15,2891.29
G43,5.85,51.03,6.93,2593.98,36.53,5.51,1589.58,55.2,7.31,2232.26
G44,7.57,39.42,7.62,2068.11,34.52,7.68,1883.11,48.6,7.21,2761.51
G45,7.08,53.49,6.97,1620.88,44.09,6.82,2370.86,52.62,6.58,2909.86
G46,7.03,54.03,8.06,1756.71,27.44,5.95,1330.67,51.93,6.86,2670.46
G47,7.53,47.6,8.4,1797.26,33.67,6.25,1139.04,53.28,6.84,2904.67
